hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_rvflag,st_lbtiflag,st_probeflag,st_k2flag,st_k2campaign,st_ppnum,wds_designation,wds_sep,wds_deltamag,ra,raerr,rastr,dec,decerr,decstr,st_glon,st_glonerr,st_glat,st_glaterr,st_fracplxunc,st_dist,st_disterr1,st_disterr2,st_pmra,st_pmraerr,st_pmdec,st_pmdecerr,st_vmag,st_vmagerr,st_vmagsrc,st_kmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_vmk,st_vmkerr,st_vmksrc,st_spttype,st_lumclass,st_spttag,st_mbol,st_mbolerr,st_mbolsrc,st_mbolflag,st_lbol,st_lbolerr,st_lbolsrc,st_teff,st_tefferr,st_teffsrc,st_logg,st_loggerr,st_loggsrc,st_metfe,st_metfeerr,st_metfesrc,st_metratio,st_rad,st_raderr,st_radsrc,st_mass,st_masserr,st_masssrc,st_age,st_ageerr,st_agesrc,st_actclass,st_eeidau,st_eeidauerr,st_eeidmas,st_eeidmaserr,st_fpbearth,st_fpbeartherr,st_vmagearth,st_vmageartherr,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_j2m,st_j2merr,st_j2mlim,st_h2m,st_h2merr,st_h2mlim,st_ks2m,st_ks2merr,st_ks2mlim,st_wise1,st_wise1err,st_wise1lim,st_wise2,st_wise2err,st_wise2lim,st_wise3,st_wise3err,st_wise3lim,st_wise4,st_wise4err,st_wise4lim,star_name
HIP 85561,HD 158233,GJ 4008,2MASS J17290658-2350099,1,0,0,0,0,0,0,0,,0,,,,262.278084,,17h29m06.74s,-23.835936,,-23d50m09.4s,2.33903,,5.849086,,0.03,18.86,0.58,-0.55,-287.3,,-74.4,,9.61,0,G,2MASS,1.27,0,G,3.22,0.03,,K5V,MAINSEQ,K,8.23,0.07,,0,0.09,0.08,V-K,4188,,V-K,,,,,,,,0.58,,Turnbull,0.54,,Turnbull,,,,A,0.31,,16.19,,0,,31.88,,1,0,1,0,0,2,0,7.177,0.023,0,6.567,0.04,0,6.39,0.027,0,,,,,,,,,,,,,HIP 85561
HIP 86141,HD 160964,GJ 689,2MASS J17361334+7152426,1,0,0,0,0,0,0,0,,0,,,,264.054938,,17h36m13.19s,71.878447,,+71d52m42.4s,102.729227,,31.506635,,0.01,19.39,0.2,-0.19,91.8,,-36.5,,8.55,0.03,VT,2MASS,1.09,0.01,G,2.67,0.03,,K5,MAINSEQ,K,7.12,0.05,,0,0.19,0.06,V-K,4603,,V-K,,,,,,,,0.69,,Turnbull,0.66,,Turnbull,,,,,0.44,,22.62,,0,,31.61,,1,0,1,0,0,2,0,6.524,0.021,0,6.011,0.021,0,5.888,0.02,0,5.869,0.117,0,5.775,0.046,0,5.82,0.015,0,5.745,0.031,0,HIP 86141
HIP 86736,HD 160915,GJ 692,2MASS J17432580-2140593,1,1,0,0,0,1,1,0,,0,17434-2141,0,1.8,265.857729,,17h43m25.85s,-21.683086,,-21d40m59.1s,5.934829,,4.206287,,0,17.65,,,-97.9,,-44.6,,4.86,0.02,VT,,0.47,0.02,G,,,,F6/7V,MAINSEQ,F,3.63,0.03,,0,3.02,0.1,B-V,6465,,Gray,4.13,,Gray,,,,,1.39,,Turnbull,1.33,,Turnbull,,,,A,1.74,,98.52,,0,,30.91,,1,0,1,0,0,2,0,4.081,0.324,0,3.787,0.27,0,3.877,0.28,0,,,,,,,,,,,,,HIP 86736
HIP 89042,HD 165499,GJ 705.1,2MASS J18102614-6200078,1,0,0,1,0,0,1,0,,0,,,,272.609415,,18h10m26.26s,-62.002768,,-62d00m10.0s,332.209336,,-19.164184,,0.01,17.61,0.18,-0.17,-77.6,,234.7,,5.47,0,G,1991ApJ...368..264A,0.59,0.01,G,1.39,0.05,,G1V,MAINSEQ,G,4.24,0.02,,0,1.78,0.06,V-K,5976,,Gray,4.3,,Gray,,,,,1.24,,Turnbull,1.16,,Turnbull,,,,I,1.33,,75.71,,0,,30.94,,1,0,1,0,0,2,0,4.43,0.306,0,4.022,0.244,0,4.13,0.266,0,,,,,,,,,,,,,HIP 89042
HIP 89517,,GJ 708.2,2MASS J18160224+1354480,1,0,0,0,0,0,0,0,,0,,,,274.00913,,18h16m02.19s,13.914608,,+13d54m52.6s,41.582912,,14.037952,,0.03,18.18,0.56,-0.53,100.6,,-501,,10.18,0,G,2MASS,1.4,0.01,G,3.62,0.03,,M0,MAINSEQ,M,8.88,0.07,,0,0.07,0.08,V-K,3929,,V-K,,,,,,,,0.56,,Turnbull,0.5,,Turnbull,,,,,0.26,,14.21,,0,,32.08,,1,0,1,0,0,2,0,7.343,0.021,0,6.747,0.038,0,6.557,0.031,0,,,,,,,,,,,,,HIP 89517
HIP 89825,HD 168442,GJ 710,2MASS J18195084-0156190,1,0,0,0,0,0,0,0,,0,,,,274.96184,,18h19m50.84s,-1.938612,,-01d56m19.0s,27.580778,,6.13053,,0.03,19.56,0.6,-0.57,1.7,,2.1,,9.66,0.01,Koen,2MASS,1.37,0.01,Koen,3.38,0.03,,K5V,MAINSEQ,K,8.2,0.08,,0,0.11,0.09,V-K,4081,,V-K,,,,,,,,0.65,,Turnbull,0.56,,Turnbull,,,,A,0.32,,16.6,,0,,32.06,,1,0,1,0,0,2,0,7.084,0.029,0,6.455,0.042,0,6.28,0.022,0,6.203,0.09,0,6.164,0.025,0,6.195,0.016,0,6.125,0.051,0,HIP 89825
HIP 90656,HD 170493,GJ 715,2MASS J18295239-0149050,1,0,0,0,0,0,0,0,,0,,,,277.467946,,18h29m52.31s,-1.817632,,-01d49m03.5s,28.847664,,3.963488,,0.02,18.62,0.38,-0.37,172,,-193.9,,8,0.01,Koen,2MASS,1.11,0.01,Koen,2.56,0.02,,K4V,MAINSEQ,K,6.65,0.05,,0,0.27,0.05,V-K,4770,,2005ApJS..159..141V,4.62,,2007ApJS..168..297T,0.35,,,[Fe/H],0.74,,2007ApJS..168..297T,0.8,,2007ApJS..168..297T,6.4,,2005ApJS..159..141V,,0.52,,28.02,,0,,31.43,,1,0,1,0,0,2,3,6.069,0.02,0,5.643,0.045,0,5.484,0.02,0,5.444,0.18,0,5.371,0.05,0,5.49,0.016,0,5.475,0.047,0,HIP 90656
HIP 90945,HD 170573,,2MASS J18330509-5415474,1,0,0,0,0,0,0,0,,0,,,,278.271674,,18h33m05.20s,-54.262845,,-54d15m46.2s,340.986679,,-19.18047,,0.02,18.44,0.38,-0.36,-123.7,,-141.1,,8.5,0,G,2MASS,1.12,0,G,2.73,0.02,,K4V(P),MAINSEQ,K,7.17,0.04,,0,0.18,0.05,V-K,4554,,V-K,,,,,,,,0.69,,Turnbull,0.65,,Turnbull,,,,I,0.43,,23.33,,0,,31.51,,1,0,1,0,0,2,0,6.454,0.019,0,5.896,0.027,0,5.774,0.024,0,,,,,,,,,,,,,HIP 90945
HIP 92059,,,2MASS J18454813-3420036,1,0,0,0,0,0,0,0,,0,,,,281.450553,,18h45m48.13s,-34.334351,,-34d20m03.7s,1.162356,,-13.834195,,0.24,18.02,5.69,-3.49,-24.2,,19.3,,11.98,0.08,SIMBAD,2MASS,0.62,0.1,SIMBAD,-0.07,0.09,,Fp,,,10.7,0.69,,0,0.01,0.7,V-K,5837,,B-V,,,,,,,,0.08,,Turnbull,0.27,,Turnbull,,,,,0.08,,4.39,,0,,31.32,,1,0,1,0,0,1,0,12.283,0.027,0,12.08,0.026,0,12.054,0.027,0,11.936,0.024,0,11.968,0.025,0,11.906,,-1,8.996,,-1,HIP 92059
HIP 95149,HD 181321,GJ 755,2MASS J19212974-3459002,1,0,0,0,0,0,0,0,,0,,,,290.373749,,19h21m29.70s,-34.983223,,-34d58m59.6s,3.333741,,-20.903097,,0.03,18.83,0.58,-0.55,78.9,,-108.9,,6.48,0,G,2MASS,0.63,0,G,1.55,0.02,,G1/2V,MAINSEQ,G,5.11,0.06,,0,0.82,0.06,V-K,5810,,Gray,4.49,,Gray,,,,,0.89,,Turnbull,0.95,,Turnbull,,,,A,0.91,,48.09,,0,,31.11,,1,0,1,0,0,2,1,5.319,0.021,0,5.05,0.018,0,4.926,0.017,0,,,,,,,,,,,,,HIP 95149
HIP 98130,HD 188474,GJ 1246,2MASS J19563704-3120071,1,0,0,0,0,0,0,0,,0,,,,299.153112,,19h56m36.75s,-31.335394,,-31d20m07.4s,9.603024,,-26.769721,,0.02,19.04,0.39,-0.37,408,,33,,8.42,0,G,2MASS,1.03,0,G,2.55,0.02,,K3/4V,MAINSEQ,K,7.02,0.04,,0,0.2,0.05,V-K,4698,,V-K,,,,,,,,0.67,,Turnbull,0.66,,Turnbull,,,,I,0.45,,23.49,,0,,31.52,,1,0,1,0,0,2,0,6.534,0.021,0,6.013,0.034,0,5.869,0.024,0,,,,,,,,,,,,,HIP 98130
HIP 98505,HD 189733,GJ 4130,2MASS J20004370+2242391,1,0,0,0,1,0,0,0,,1,,,,300.182145,,20h00m43.71s,22.711462,,+22d42m41.3s,60.963546,,-3.921874,,0.01,19.45,0.2,-0.19,-2.5,,-250.8,,7.65,0.01,Koen,2MASS,0.93,0.01,Koen,2.13,0.03,,G5,MAINSEQ,G,6.2,0.04,,0,0.34,0.05,V-K,4939,,Gray,4.53,,Gray,,,,,0.8,,Turnbull,0.76,,Turnbull,,,,A,0.59,,30.1,,0,,31.33,,61,25,1,2,33,2,5,6.073,0.032,0,5.587,0.031,0,5.541,0.021,0,5.289,0.154,0,5.342,0.05,0,5.459,0.013,0,5.427,0.033,0,HD 189733
HIP 98959,HD 189567,GJ 776,2MASS J20053286-6719156,1,0,0,0,0,0,0,0,,0,,,,301.381195,,20h05m31.49s,-67.319257,,-67d19m09.3s,328.467792,,-31.987585,,0.01,17.73,0.18,-0.18,844.5,,-674.7,,6.07,0.02,VT,2MASS,0.65,0.01,G,1.56,0.03,,G3V,MAINSEQ,G,4.83,0.03,,0,1.06,0.05,V-K,5713,,2005ApJS..159..141V,4.4,,2007ApJS..168..297T,-0.23,,,[Fe/H],1.04,,2007ApJS..168..297T,0.92,,2007ApJS..168..297T,9.76,,2007ApJS..168..297T,I,1.03,,58.04,,0,,30.98,,1,0,1,0,0,2,1,5.108,0.266,0,4.724,0.076,0,4.511,0.026,0,,,,,,,,,,,,,HD 189567
HIP 100017,HD 193664,GJ 788,2MASS J20173128+6651130,1,0,0,1,0,0,1,0,,0,,,,304.377635,,20h17m30.63s,66.852966,,+66d51m10.7s,100.459994,,16.915189,,0,17.57,,,468.5,,296.8,,5.92,0.02,VT,,0.59,0.02,BVT-Red,,,,G3V,MAINSEQ,G,4.69,0.03,,0,1.18,0.1,B-V,5886,,2005ApJS..159..141V,4.43,,2007ApJS..168..297T,-0.09,,,[Fe/H],1.03,,2007ApJS..168..297T,1.02,,2007ApJS..168..297T,3.76,,2007ApJS..168..297T,I,1.08,,61.71,,0,,30.94,,1,0,1,0,0,2,1,4.879,0.037,0,4.69,0.036,0,4.451,0.029,0,,,,,,,,,,,,,HIP 100017
HIP 100223,HD 192961,GJ 787,2MASS J20193694-4625410,1,0,0,0,0,0,0,0,,0,,,,304.905225,,20h19m37.25s,-46.427867,,-46d25m40.3s,353.421798,,-34.098328,,0.02,17.91,0.37,-0.35,-379.4,,-103.5,,8.71,0.01,Koen,2MASS,1.18,0.01,Koen,2.95,0.02,,M0/1V,MAINSEQ,M,7.44,0.06,,0,0.17,0.06,V-K,4385,,V-K,,,,,,,,0.71,,Turnbull,0.63,,Turnbull,,,,I,0.41,,22.83,,0,,31.61,,1,0,1,0,0,2,0,6.524,0.025,0,5.999,0.021,0,5.785,0.018,0,,,,,,,,,,,,,HIP 100223
HIP 100490,,GJ 788.1,2MASS J20224191-5817083,1,0,0,0,0,0,0,0,,0,,,,305.671278,,20h22m41.11s,-58.284604,,-58d17m04.6s,339.04742,,-34.700389,,0.04,19.39,0.81,-0.75,757.9,,-434.8,,10.58,0.01,Koen,2MASS,1.45,0.01,Koen,3.63,0.03,,M,MAINSEQ,M,9.15,0.09,,0,0.05,0.1,V-K,3924,,V-K,,,,,,,,0.49,,Turnbull,0.47,,Turnbull,,,,,0.23,,11.75,,0,,32.21,,1,0,1,0,0,2,0,7.82,0.025,0,7.183,0.029,0,6.969,0.026,0,,,,,,,,,,,,,HIP 100490
HIP 100925,HD 194640,GJ 790,2MASS J20274424-3052039,1,0,0,0,0,0,0,0,,0,,,,306.934387,,20h27m44.25s,-30.866578,,-30d51m59.7s,12.180617,,-33.063578,,0.01,19.52,0.2,-0.19,-14.9,,-521.5,,6.61,0.01,G,2MASS,0.72,0.01,G,1.7,0.02,,G6/8V,MAINSEQ,G,5.16,0.03,,0,0.81,0.04,V-K,5530,,2005ApJS..159..141V,4.45,,2007ApJS..168..297T,-0.03,,,[Fe/H],0.95,,2007ApJS..168..297T,0.89,,2007ApJS..168..297T,8.5,,2005ApJS..159..141V,I,0.9,,46.17,,0,,31.23,,1,0,1,0,0,2,0,5.362,0.019,0,5.067,0.033,0,4.915,0.016,0,,,,,,,,,,,,,HIP 100925
HIP 104059,,GJ 817,2MASS J21045341-1657311,1,0,0,0,0,0,0,0,,0,,,,316.224748,,21h04m53.94s,-16.953917,,-16d57m14.1s,31.523408,,-36.953249,,0.06,19.17,1.22,-1.09,-914.5,,-2035.7,,11.47,0.01,Koen,2MASS,1.48,0.01,Koen,3.91,0.03,,M3,MAINSEQ,M,10.05,0.14,,0,0.03,0.16,V-K,3766,,V-K,,,,,,,,0.4,,Turnbull,0.4,,Turnbull,,,,,0.17,,8.78,,0,,32.44,,1,0,1,0,0,2,0,8.285,0.032,0,7.744,0.047,0,7.545,0.029,0,,,,,,,,,,,,,HIP 104059
HIP 106147,HD 204587,GJ 830,2MASS J21300271-1230361,1,0,0,0,0,0,0,0,,0,,,,322.508945,,21h30m02.15s,-12.509437,,-12d30m34.0s,39.855544,,-40.781443,,0.02,18.41,0.38,-0.36,1015.2,,-260.5,,9.08,0.01,Koen,2MASS,1.29,0.01,Koen,3.23,0.03,,K4/5V,MAINSEQ,K,7.75,0.06,,0,0.14,0.07,V-K,4182,,V-K,4.7,,2007ApJS..168..297T,,,,,0.6,,2007ApJS..168..297T,0.65,,2007ApJS..168..297T,,,,I,0.38,,20.44,,0,,31.8,,1,0,1,0,0,2,2,6.656,0.02,0,5.99,0.045,0,5.881,0.026,0,,,,,,,,,,,,,HIP 106147
HIP 106557,,GJ 4205,2MASS J21345036+5132138,1,0,0,0,0,0,0,0,,0,,,,323.707952,,21h34m49.91s,51.536348,,+51d32m10.9s,94.863426,,-0.288919,,0.04,17.9,0.75,-0.69,456.1,,310.8,,11.6,0.46,VT,2MASS,1.78,0.46,BVT-G-Red,4.33,0.46,,M:,,,10.34,0.56,,0,0.03,0.73,V-K,3549,,V-K,,,,,,,,0.45,,Turnbull,0.4,,Turnbull,,,,,0.17,,9.56,,0,,32.61,,1,0,1,0,0,2,0,8.038,0.019,0,7.472,0.034,0,7.271,0.026,0,,,,,,,,,,,,,HIP 106557
HIP 107346,,GJ 836.8,2MASS J21442997+4135509,1,0,0,0,0,0,0,0,,0,,,,326.125039,,21h44m30.01s,41.597362,,+41d35m50.5s,89.490539,,-8.826092,,0.03,19.74,0.61,-0.57,-62.1,,42.3,,9.65,0,G,2MASS,1.33,0.01,G,3.36,0.02,,K0,MAINSEQ,K,8.17,0.06,,0,0.11,0.06,V-K,4094,,V-K,,,,,,,,0.65,,Turnbull,0.56,,Turnbull,,,,A,0.33,,16.57,,0,,32.07,,1,0,1,0,0,2,0,7.07,0.027,0,6.422,0.034,0,6.289,0.021,0,6.187,0.093,0,6.134,0.026,0,6.201,0.015,0,6.121,0.054,0,HIP 107346
HIP 108156,HD 208313,GJ 840,2MASS J21544502+3219428,1,0,0,0,0,0,0,0,,0,21547+3220,,,328.687061,,21h54m44.89s,32.329137,,+32d19m44.9s,84.882735,,-17.189812,,0.02,19.96,0.41,-0.39,210.6,,-233.4,,7.71,0.02,VT,2MASS,0.91,0.01,G,2.11,0.03,,K0,MAINSEQ,K,6.21,0.06,,0,0.35,0.06,V-K,5033,,2005ApJS..159..141V,4.57,,2007ApJS..168..297T,-0.04,,,[Fe/H],0.78,,2007ApJS..168..297T,0.79,,2007ApJS..168..297T,10.4,,2007ApJS..168..297T,I,0.59,,29.57,,0,,31.4,,1,0,1,0,0,2,2,6.106,0.023,0,5.682,0.024,0,5.594,0.021,0,,,,,,,,,,,,,HIP 108156
HIP 109422,HD 210302,GJ 849.1,2MASS J22100875-3232544,1,0,0,0,1,0,0,0,,0,,,,332.535348,,22h10m08.48s,-32.54844,,-32d32m54.4s,14.123209,,-54.813102,,0.01,18.28,0.18,-0.18,428.6,,13.8,,4.93,0.02,VT,1991ApJ...368..264A,0.49,0.01,G,1.15,0.05,,F6V,MAINSEQ,F,3.62,0.03,,0,3.04,0.06,V-K,6339,,2005ApJS..159..141V,4.23,,2007ApJS..168..297T,0.09,,,[Fe/H],1.46,,2007ApJS..168..297T,1.28,,2007ApJS..168..297T,2.52,,2007ApJS..168..297T,I,1.74,,95.31,,0,,30.98,,1,0,1,0,0,2,3,3.93,0.302,0,3.639,0.262,0,3.704,0.292,0,,,,,,,,,,,,,HIP 109422
HIP 110400,,GJ 4273,2MASS J22214293-6531330,1,0,0,0,0,0,0,0,,0,,,,335.429227,,22h21m43.01s,-65.526186,,-65d31m34.3s,323.813652,,-45.055964,,0.06,18.64,1.19,-1.06,-72.2,,148.8,,12.03,0.01,Koen,2MASS,1.55,0.01,Koen,4.47,0.24,,M5,,,10.68,0.14,,0,0.02,0.28,V-K,3487,,V-K,,,,,,,,0.41,,Turnbull,0.38,,Turnbull,,,,,0.15,,7.98,,0,,32.74,,1,0,1,0,0,2,0,8.45,0.025,0,7.877,0.026,0,7.644,0.026,0,7.437,0.033,0,7.367,0.02,0,7.278,0.017,0,7.018,0.109,0,HIP 110400
HIP 116763,HD 222335,GJ 902.1,2MASS J23395129-3244358,1,0,0,0,0,0,0,0,,0,,,,354.963389,,23h39m51.21s,-32.742666,,-32d44m33.6s,8.689094,,-73.53298,,0.01,18.57,0.19,-0.18,135.5,,-304.6,,7.19,0.01,Koen,2MASS,0.81,0.01,Koen,1.92,0.02,,K1V,MAINSEQ,K,5.85,0.04,,0,0.46,0.04,V-K,5231,,2005ApJS..159..141V,4.54,,2007ApJS..168..297T,-0.17,,,[Fe/H],0.82,,2007ApJS..168..297T,0.81,,2007ApJS..168..297T,13.24,,2007ApJS..168..297T,I,0.68,,36.64,,0,,31.2,,1,0,1,0,0,2,1,5.786,0.034,0,5.332,0.026,0,5.265,0.02,0,,,,,,,,,,,,,HIP 116763
HIP 117197,,GJ 906,2MASS J23454949+3615181,1,0,0,0,0,0,0,0,,0,,,,356.455211,,23h45m49.25s,36.254934,,+36d15m17.8s,108.407651,,-24.75922,,0.03,19.18,0.59,-0.56,347.1,,45.6,,9.89,0.01,G,2MASS,1.34,0.01,G,3.34,0.02,,M0,MAINSEQ,M,8.48,0.08,,0,0.08,0.08,V-K,4106,,V-K,,,,,,,,0.56,,Turnbull,0.52,,Turnbull,,,,,0.28,,14.76,,0,,31.99,,1,0,1,0,0,2,3,7.32,0.037,0,6.707,0.022,0,6.547,0.021,0,,,,,,,,,,,,,HIP 117197
HIP 117966,,GJ 912,2MASS J23553981-0608327,1,0,0,0,0,0,0,0,,0,,,,358.91691,,23h55m40.06s,-6.141622,,-06d08m29.8s,88.139805,,-65.174871,,0.05,18.6,0.98,-0.89,-476.1,,-391,,11.14,0,G,2MASS,1.47,0.01,G,4.43,0.02,,M2.5Vk,,,9.79,0.12,,0,0.05,0.15,V-K,3505,,V-K,,,,,,,,0.62,,Turnbull,0.47,,Turnbull,,,,,0.23,,12.27,,0,,32.77,,1,0,1,0,0,2,0,7.6,0.018,0,6.964,0.044,0,6.715,0.024,0,,,,,,,,,,,,,HIP 117966
HIP 110534,,GJ 855,2MASS J22233334-5713146,1,0,0,0,0,0,0,0,,0,,,,335.886113,,22h23m32.67s,-57.219715,,-57d13m11.0s,333.513178,,-50.204276,,0.04,19.15,0.8,-0.74,586.5,,-376.1,,10.71,0.01,Koen,2MASS,1.48,0.01,Koen,4.09,0.03,,K,MAINSEQ,K,9.3,0.1,,0,0.06,0.14,V-K,3667,,V-K,,,,,,,,0.59,,Turnbull,0.48,,Turnbull,,,,,0.24,,12.53,,0,,32.45,,1,0,1,0,0,2,0,7.6,0.019,0,6.958,0.026,0,6.73,0.026,0,,,,,,,,,,,,,HIP 110534
HIP 112527,HD 216520,,2MASS J22473183+8341493,1,0,0,0,0,0,0,0,,0,,,,341.886179,,22h47m32.68s,83.696745,,+83d41m48.3s,119.445935,,21.681673,,0.01,19.67,0.2,-0.19,-152.2,,116.8,,7.52,0.02,VT,2MASS,0.88,0.02,BVT-Red,2.08,0.03,,K2,MAINSEQ,K,6.06,0.04,,0,0.4,0.05,V-K,5144,,V-K,,,,,,,,0.79,,Turnbull,0.79,,Turnbull,,,,I,0.63,,31.97,,0,,31.36,,1,0,1,0,0,2,6,5.951,0.03,0,5.524,0.033,0,5.449,0.021,0,,,,,,,,,,,,,HIP 112527
HIP 112800,,GJ 1274,2MASS J22503761+3451212,1,0,0,0,0,0,0,0,,0,,,,342.654607,,22h50m37.11s,34.855291,,+34d51m19.0s,96.541641,,-21.750757,,0.05,17.52,0.92,-0.83,843.7,,315.2,,11.72,0.01,G,2MASS,1.52,0.02,G,4.21,0.02,,,MAINSEQ,M,10.5,0.12,,0,0.02,0.15,V-K,3607,,V-K,,,,,,,,0.39,,Turnbull,0.38,,Turnbull,,,,,0.15,,8.65,,0,,32.47,,1,0,1,0,0,2,0,8.28,0.023,0,7.72,0.016,0,7.51,0.018,0,,,,,,,,,,,,,HIP 112800
HIP 112978,,,2MASS J22524813-2847422,1,0,0,0,0,0,0,0,,0,,,,343.201441,,22h52m48.35s,-28.794518,,-28d47m40.3s,22.296743,,-63.818356,,0.06,19.61,1.25,-1.11,-407.8,,-277.6,,11.87,0.01,Koen,2MASS,1.54,0.01,Koen,4.24,0.03,,M:,MAINSEQ,M,10.41,0.14,,0,0.03,0.16,V-K,3591,,V-K,,,,,,,,0.42,,Turnbull,0.4,,Turnbull,,,,,0.16,,8.36,,0,,32.79,,1,0,1,0,0,2,0,8.412,0.025,0,7.819,0.061,0,7.578,0.024,0,,,,,,,,,,,,,HIP 112978
HIP 115123,HD 219764,GJ 1283,2MASS J23190540-6031143,1,0,0,0,0,0,0,0,,0,,,,349.772957,,23h19m05.51s,-60.520558,,-60d31m14.0s,321.685618,,-53.115343,,0.02,19.4,0.4,-0.38,-95,,-42.7,,8.92,0.03,VT,2MASS,1.15,0,G,2.89,0.04,,K4V,MAINSEQ,K,7.48,0.08,,0,0.16,0.08,V-K,4429,,V-K,,,,,,,,0.68,,Turnbull,0.62,,Turnbull,,,,A,0.4,,20.58,,0,,31.77,,1,0,1,0,0,2,0,6.742,0.02,0,6.193,0.033,0,6.035,0.02,0,6.031,0.099,0,5.932,0.039,0,6.011,0.016,0,5.981,0.05,0,HIP 115123
HIP 115445,HD 220339,GJ 894.5,2MASS J23230484-1045516,1,0,0,0,0,0,0,0,,0,,,,350.769279,,23h23m04.63s,-10.764876,,-10d45m53.6s,66.894399,,-63.548588,,0.02,19.12,0.39,-0.37,451,,260.3,,7.8,0.01,Koen,2MASS,0.9,0.01,Koen,2.21,0.02,,K2V,MAINSEQ,K,6.39,0.05,,0,0.3,0.05,V-K,4975,,2005ApJS..159..141V,4.58,,2007ApJS..168..297T,-0.31,,,[Fe/H],0.75,,2007ApJS..168..297T,0.75,,2007ApJS..168..297T,5.4,,2005ApJS..159..141V,I,0.55,,28.8,,0,,31.34,,1,0,1,0,0,2,2,6.201,0.024,0,5.74,0.042,0,5.591,0.017,0,,,,,,,,,,,,,HIP 115445
HIP 116645,,GJ 4353,2MASS J23381743-4131037,1,0,0,0,0,0,0,0,,0,,,,354.571903,,23h38m17.26s,-41.517222,,-41d31m02.0s,344.412018,,-69.223921,,0.07,18.68,1.41,-1.22,210.1,,-198.1,,11.93,0.01,Koen,2MASS,1.55,0.01,Koen,4.46,0.03,,M3,MAINSEQ,M,10.58,0.16,,0,0.03,0.18,V-K,3491,,V-K,,,,,,,,0.44,,Turnbull,0.39,,Turnbull,,,,,0.16,,8.55,,0,,32.79,,1,0,1,0,0,2,0,8.361,0.03,0,7.733,0.042,0,7.494,0.022,0,,,,,,,,,,,,,HIP 116645
HIP 3909,HD 4813,GJ 37,2MASS J00500759-1038394,1,0,1,0,0,0,1,0,,0,,,,12.532185,,00h50m07.72s,-10.64377,,-10d38m37.6s,121.798391,,-73.512663,,0.01,15.75,0.16,-0.16,-224.7,,-228.4,,5.16,0.02,VT,,0.51,0.01,G,,,,F7V,MAINSEQ,F,4.18,0.03,,0,1.85,0.1,B-V,6250,,Gray,4.28,,Gray,,,,,1.16,,Turnbull,1.17,,Turnbull,,,,I,1.36,,86.25,,0,,30.67,,1,0,1,0,0,2,3,4.412,0.308,0,4.012,0.28,0,4.015,0.264,0,,,,,,,,,,,,,HIP 3909
HIP 5247,,GJ 52,2MASS J01070794+6356284,1,0,0,0,0,0,0,0,,0,,,,16.775601,,01h07m06.14s,63.940551,,+63d56m26.0s,124.651534,,1.121211,,0.02,14.93,0.3,-0.29,1548.2,,319.3,,9,0,G,2MASS,1.29,0.01,G,3.31,0.03,,K7V,MAINSEQ,K,8.13,0.05,,0,0.11,0.05,V-K,4126,,V-K,,,,,,,,0.64,,Turnbull,0.57,,Turnbull,,,,I,0.33,,22.02,,0,,31.43,,1,0,1,0,0,2,1,6.468,0.02,0,5.824,0.017,0,5.688,0.026,0,,,,,,,,,,,,,HIP 5247
HIP 5812,,GJ 3082,2MASS J01143421-5356316,1,0,0,0,0,0,0,0,,0,,,,18.64206,,01h14m34.09s,-53.94287,,-53d56m34.3s,295.465027,,-62.848687,,0.03,16.56,0.51,-0.48,104.3,,310.9,,11.08,0.01,Koen,2MASS,1.51,0.01,Koen,4.2,0.22,,M4,MAINSEQ,M,9.98,0.08,,0,0.03,0.23,V-K,3613,,V-K,,,,,,,,0.47,,Turnbull,0.42,,Turnbull,,,,,0.18,,11.13,,0,,32.25,,1,0,1,0,0,2,0,7.805,0.023,0,7.242,0.026,0,6.966,0.022,0,,,,,,,,,,,,,HIP 5812
HIP 5862,HD 7570,GJ 55,2MASS J01151112-4531540,1,1,1,0,0,0,1,0,,0,,,,18.794032,,01h15m10.57s,-45.532097,,-45d31m55.5s,290.078714,,-70.999041,,0,15.11,,,664.5,,178.1,,4.96,0.02,VT,1990MNRAS.242....1C,0.57,0.01,G,1.29,0.05,,G0V,MAINSEQ,G,4.06,0.02,,0,2.07,0.06,V-K,6116,,2005ApJS..159..141V,4.35,,2007ApJS..168..297T,0.16,,,[Fe/H],1.25,,2007ApJS..168..297T,1.17,,2007ApJS..168..297T,2.88,,2007ApJS..168..297T,I,1.44,,95.08,,0,,30.59,,1,0,1,0,0,2,1,4.094,0.346,0,3.719,0.268,0,3.782,0.268,0,,,,,,,,,,,,,HIP 5862
HIP 6005,,GJ 1036,2MASS J01171538-3542569,1,0,0,0,0,0,0,0,,0,,,,19.313929,,01h17m15.34s,-35.715474,,-35d42m55.7s,271.892184,,-79.804441,,0.06,16.21,1.03,-0.92,90.9,,-175.8,,11.28,0.01,Koen,2MASS,1.53,0.01,Koen,4.37,0.02,,,MAINSEQ,M,10.23,0.14,,0,0.03,0.16,V-K,3530,,V-K,,,,,,,,0.48,,Turnbull,0.42,,Turnbull,,,,,0.18,,11.11,,0,,32.41,,1,0,1,0,0,2,0,7.845,0.021,0,7.182,0.059,0,6.938,0.017,0,,,,,,,,,,,,,HIP 6005
